p5,p6,matrix_size_x,matrix_size_y,p2,p1,p8,p7,p3,p4,performance
18,7,1297,3527,244,80,17,20,30,13,0.0261539
4,29,1411,4610,185,133,37,61,9,17,0.0249353
26,13,4450,3724,69,137,9,8,24,18,0.0953268
26,23,1246,4177,92,195,31,34,31,31,0.0188704
17,11,4417,1334,141,215,59,31,11,22,0.0307564
31,10,4889,1384,178,26,75,24,8,13,0.0269594
8,30,3886,3068,122,194,86,40,5,29,0.0605631
32,31,3432,2195,184,202,13,62,12,13,0.0359496
26,20,3990,4157,111,246,58,82,19,8,0.0622366
15,22,2181,3476,233,133,52,66,4,23,0.0339215
22,23,2787,2937,57,136,9,6,20,22,0.0578371
3,5,1104,1398,66,117,80,37,10,21,0.0136856
7,7,4702,4320,192,93,62,88,6,15,0.0796368
22,4,3231,3431,169,65,14,46,14,25,0.0695509
19,22,2176,1176,85,203,44,21,4,22,0.0191195
24,26,4208,2284,216,120,90,19,15,1,0.0379514
29,24,1990,1057,183,84,85,25,9,27,0.017697
30,7,1553,3279,25,52,45,70,6,26,0.0160672
27,1,3623,4579,11,131,96,16,29,21,0.101688
26,14,4849,4313,73,239,85,48,17,2,0.0735672
29,21,1411,1048,63,182,98,83,4,15,0.0171808
23,19,3823,3017,20,33,22,21,1,1,0.0403665
32,21,3311,1958,43,236,67,14,26,26,0.0371692
11,11,2618,2441,212,147,54,7,10,13,0.0397622
18,5,1361,3892,60,13,7,10,16,3,0.149854
3,26,1436,1287,51,127,94,59,12,17,0.019077
7,28,3575,1540,135,211,58,59,29,22,0.0388923
25,14,3574,4087,95,169,46,7,7,23,0.069805
1,3,1898,3391,73,138,65,73,4,30,0.0324341
30,19,1302,4795,216,94,43,60,23,22,0.020057
14,10,3187,3248,171,23,60,97,19,4,0.0560869
2,13,4400,2357,166,65,78,97,2,25,0.0734642
17,12,4858,2324,68,11,9,53,22,23,0.536945
23,10,2692,4508,168,96,55,83,8,14,0.0370566
13,16,2261,3105,7,21,57,5,14,22,0.224526
29,29,3983,1982,210,237,3,77,4,23,0.0377716
19,17,3516,3607,21,52,14,17,16,31,0.172622
8,27,4415,1767,67,178,90,93,17,11,0.0390947
9,6,3471,2139,21,246,63,89,6,3,0.0413505
5,14,3421,2273,226,220,85,74,3,18,0.059238
26,14,1748,4707,40,164,58,54,2,15,0.023093
18,10,3153,4195,30,14,22,49,29,20,0.832499
2,3,1393,1332,127,35,33,70,8,0,0.0199464
7,14,2497,3169,75,163,45,3,12,25,0.0386126
11,5,3111,1152,169,69,91,85,24,22,0.0250708
15,32,4974,3094,53,128,17,51,23,8,0.0534371
9,27,4312,4549,195,125,78,6,1,31,0.098975
15,6,1351,2565,188,121,82,78,23,7,0.0184912
22,5,4934,4612,174,62,25,59,7,2,0.0704204
5,1,1178,4274,244,25,6,20,17,4,0.0554656
7,1,1821,1585,235,25,80,77,10,9,0.0285887
3,27,2909,4825,28,62,77,11,25,22,0.143388
7,12,4083,1314,143,49,81,5,16,15,0.0256573
9,30,1244,3804,46,194,37,27,10,21,0.0153075
18,5,1653,2671,85,146,22,38,22,23,0.0221968
2,14,1979,2186,235,217,77,76,20,5,0.0535384
24,28,2998,1852,243,104,47,76,2,25,0.0326707
13,31,2468,1519,56,209,29,42,13,17,0.0327593
6,11,2058,3735,139,150,33,84,30,5,0.0356425
29,1,4201,2259,111,32,23,6,32,13,0.14029
24,6,2601,3435,256,77,55,86,19,12,0.0376633
17,18,3302,1310,115,146,94,72,22,3,0.0250096
29,16,2560,2732,199,129,77,75,9,11,0.0347809
9,11,1082,3129,245,76,47,83,8,27,0.013578
7,15,4989,3699,47,40,50,75,27,2,0.109097
31,20,2756,3086,101,29,60,18,2,8,0.0390229
28,15,4402,4875,218,112,47,79,31,5,0.085763
6,14,4426,1065,35,240,95,26,25,27,0.113729
16,23,2259,2746,149,233,58,16,28,2,0.041236
5,24,1362,2199,105,56,20,8,12,6,0.0177061
11,3,3008,4745,193,109,88,94,30,27,0.0583073
27,12,1195,2968,145,195,96,22,27,1,0.0195416
26,3,2921,2953,11,11,13,46,1,30,0.224503
13,30,2471,1531,37,10,57,76,32,22,0.131676
14,23,2808,1245,16,83,22,90,13,15,0.0169094
9,19,4865,3209,210,139,80,77,5,15,0.0709184
24,13,1170,4344,37,207,17,43,3,5,0.0145664
10,18,3570,3811,57,132,89,59,21,21,0.0591595
12,19,3776,2499,200,72,79,24,22,4,0.0394971
1,3,2488,4089,43,118,14,64,6,15,0.0351082
29,25,1346,2126,80,169,34,4,4,1,0.0180062
14,21,4112,1516,132,146,62,11,30,21,0.0320738
28,20,3724,1737,231,164,17,63,3,23,0.0325853
26,4,2832,2839,90,55,39,57,21,4,0.0470847
14,24,1038,1007,125,194,65,44,11,32,0.0129463
17,8,4934,2074,59,22,7,48,13,1,0.0637908
26,11,3284,3392,178,58,27,12,12,17,0.0725618
2,25,3168,1798,176,15,92,55,24,10,0.0466352
5,0,1827,3805,202,24,20,81,3,31,0.0250725
18,19,1158,1429,60,72,41,20,7,24,0.0190253
29,31,1789,2910,89,142,94,11,25,18,0.0288147
21,29,1034,2368,240,73,77,14,20,17,0.014866
21,10,3221,1739,162,110,26,72,20,20,0.0290559
4,24,3748,1599,60,190,59,27,1,27,0.0434028
15,16,2294,1500,46,165,63,21,15,26,0.0234834
23,29,1184,1414,108,128,31,79,14,11,0.0152267
19,14,4314,4229,254,130,94,75,30,8,0.075743
12,11,1062,2313,218,81,13,32,22,15,0.0138201
28,7,1778,4219,35,103,96,97,30,10,0.023708
6,12,4715,3095,56,229,2,98,3,2,0.062667
29,10,1501,2671,127,17,82,20,20,24,0.0217258
24,23,1896,3735,64,192,76,85,18,1,0.0248425
19,28,3890,3611,240,151,92,22,3,8,0.0609846
26,1,2557,2263,166,147,29,69,1,27,0.0384044
8,28,3122,3382,171,34,43,28,11,26,0.101613
7,24,3142,4921,188,234,65,22,12,3,0.0621315
24,22,1602,3712,100,213,42,17,5,6,0.0217453
32,31,2762,1720,234,164,83,95,17,26,0.0325526
27,9,2443,3695,35,202,60,53,16,15,0.0358417
27,17,4688,4395,178,72,97,60,9,30,0.0702966
9,5,4767,2261,173,141,87,4,8,32,0.051924
27,6,4047,2358,151,118,33,80,7,5,0.037241
12,11,3570,4505,112,109,68,44,11,28,0.0568358
31,9,4306,4003,213,97,59,14,26,4,0.0850187
30,21,4906,4100,28,153,71,24,16,20,0.0947389
19,16,1281,1696,200,158,1,46,25,17,0.0195034
22,30,2698,2253,243,179,35,3,1,16,0.040715
32,17,4002,4920,34,134,35,84,10,29,0.0573869
28,5,3237,2071,228,125,47,15,14,20,0.03943
12,18,4833,2573,15,176,57,38,5,29,0.0454579
2,5,4535,3589,178,246,27,57,28,8,0.133393
7,7,3551,1204,68,131,7,36,9,1,0.0218442
22,23,2529,3893,2,144,29,96,10,22,0.0322872
3,23,4475,4470,158,187,42,25,7,29,0.11117
30,23,1462,4235,0,161,18,60,32,18,0.0191445
18,12,3544,2618,51,65,51,11,19,22,0.0642685
19,0,2897,3815,71,60,36,42,29,32,0.08432
8,25,4922,4895,144,123,52,84,11,17,0.0896186
12,14,2770,2540,208,22,31,26,27,20,0.149767
15,23,1478,3393,211,181,36,47,13,12,0.0217689
9,13,1038,2955,209,133,15,7,31,20,0.0155464
6,7,4980,2234,25,201,64,2,7,13,0.0450164
1,1,2101,4788,52,105,34,51,27,7,0.0329508
8,18,4681,1270,190,98,87,13,25,1,0.0306811
3,14,3017,2202,176,186,25,96,30,23,0.0496201
11,11,2703,4012,88,31,98,47,20,7,0.0375621
20,14,2075,4569,54,46,37,28,17,8,0.0375406
9,18,2267,4464,8,93,61,11,7,19,0.031584
28,14,3650,1289,75,79,21,75,7,18,0.019769
12,10,3989,3978,64,29,69,18,25,24,0.193227
10,31,4904,2957,251,172,83,39,3,23,0.0680501
17,27,4960,2811,26,154,95,43,16,32,0.0486462
